UserID,PromptID,PMCID,Valid Label,Valid Reasoning,Label,Annotations,Label Code,In Abstract,Evidence Start,Evidence End
0,213,2206488,True,True,no significant difference,IL-6r (ng/ml)							 Group A	43.6 (1.7–125.0)		47.4 (0.7–109.5)	56.2 (25.2–226.3)			0.949† Group B	40.7 (15.6–94.6)		42.4 (22.2–100.5)	50.2 (13.2–104.9)			0.861†	p = 0.607*		p = 0.914*	p = 0.304*,0,False,-1,-1
1,213,2206488,True,True,no significant difference,"There was no significant difference in IL 6, IL-6r and C-reactive protein values between groups.",0,True,1612,1708
3,213,2206488,True,True,no significant difference,"There was no significant difference in IL 6, IL-6r and C-reactive protein values between groups",0,True,1612,1707
2,213,2206488,True,True,no significant difference,"There was no significant difference in IL 6, IL-6r and C-reactive protein values between groups",0,True,1612,1707
0,98,2858204,True,True,significantly increased,"After two weeks of treatment, the reduction in ulcer area was doubled in the HBOT group (P = 0.037)",1,True,18239,18338
1,98,2858204,True,True,significantly increased,"After two weeks of treatment, the reduction in ulcer area was doubled in the HBOT group (P = 0.037).",1,True,18239,18339
3,98,2858204,True,True,significantly increased,"After two weeks of treatment, the reduction in ulcer area was doubled in the HBOT group (P = 0.037).",1,True,18239,18339
2,98,2858204,True,True,significantly increased,"After two weeks of treatment, the reduction in ulcer area was doubled in the HBOT group (P = 0.037).",1,True,18239,18339
0,150,2871176,True,True,significantly increased,"The proportion of subjects experiencing minor hypoglycaemia during the trial was lowest with placebo (i.e. glimepiride monotherapy 2.6%; 0.17 events/subject-year), comparable with liraglutide 0.6 mg (5.2%, 0.17 events/subject-year) and rosiglitazone (4.3%, 0.12 events/subject-year) groups and similar between the liraglutide 1.2 mg (9.2%, 0.51 events/subject-year) and liraglutide 1.8 mg (8.1%, 0.47 events/subject-year) treatment groups. Incidence was higher with liraglutide 1.2 mg (P = 0.0024) and 1.8 mg (P = 0.0065) compared with rosiglitazone and liraglutide 1.2 mg compared with placebo (P = 0.048), occurring in the setting of lower mean HbA1c values.",1,False,25524,26184
3,150,2871176,True,True,significantly increased,Incidence was higher with liraglutide 1.2 mg (P = 0.0024) and 1.8 mg (P = 0.0065) compared with rosiglitazone,1,False,25964,26073
